week,Video,Video title,week_topic,Video publish time,Unique viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%),weeknum,section,tot_sec,tot_min
13,kXJOwsRqd8g,ANOVA pre-lab (tidy) part 2/2,ANOVA,"May 7, 2020",13,25,2.3086,0,28,39.29,13,tidyverse,644,10.733333333333333
13,tuYOjkvvwlg,ANOVA pre-lab (formula) part 2/2,ANOVA,"May 7, 2020",16,20,2.1669,0,18,11.11,13,formula,585,9.75
13,v3ozvy6G7Ns,ANOVA pre-lab (formula) part 1/2,ANOVA,"May 7, 2020",16,20,1.4796,0,10,10,13,formula,352,5.866666666666666
14,WfNRZfd9z-Y,Chi-square pre-lab (tidy) video 1 of 1,Chi-square,"Dec 9, 2020",21,26,2.1093,0,136,2.21,14,tidyverse,490,8.166666666666666
14,UDOno8z9Txw,Chi-square pre-lab (formula) video 1 of 1,Chi-square,"Dec 7, 2020",18,21,1.7574,0,114,0.88,14,formula,397,6.616666666666666
15,TY30JLeYwKA,"Inference for regression pre-lab (tidy), part 1 of 3",Inference for regression,"Apr 23, 2020",9,13,0.6547,0,29,6.9,15,tidyverse,402,6.7
15,KqBatgijU60,"Inference for regression pre-lab (formula), part 1 of 3",Inference for regression,"Apr 23, 2020",10,12,0.8136,0,18,5.56,15,formula,390,6.5
15,MkjiMRhKNt4,"Inference for regression pre-lab, part 2 of 3",Inference for regression,"Apr 23, 2020",18,22,2.7016,0,36,19.44,15,tidyverse,803,13.383333333333333
15,Xy8zbV9bA7A,"Inference for regression pre-lab, part 3 of 3",Inference for regression,"Dec 14, 2020",18,20,1.3613,0,214,2.8,15,tidyverse,426,7.1
15,MkjiMRhKNt4,"Inference for regression pre-lab, part 2 of 3",Inference for regression,"Apr 23, 2020",18,22,2.7016,0,36,19.44,15,formula,803,13.383333333333333
15,Xy8zbV9bA7A,"Inference for regression pre-lab, part 3 of 3",Inference for regression,"Dec 14, 2020",18,20,1.3613,0,214,2.8,15,formula,426,7.1
